title,url,processor Type,Generation,Price
Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-d330-10igl-intel-cdc-n4020-mineral-grey-laptop, Intel Celeron, Not Applicable,"Tk 34,500 "
HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB 256GB SSD 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/hp-15s-eq1578au-amd-athlon-silver-3050u-15.6-inch-fhd-display-silver-laptop, AMD Athlon, Not Applicable,"Tk 46,500 "
"Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop",https://www.ryanscomputers.com/acer-aspire-3-a315-510p-38rh-intel-core-i3-n305-8gb-ram--512gb-ssd-15.6-inch-fhd-display-pure-silver-laptop, Core i3, 13th Standard (Intel), 
Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-1-15ada7-amd-ryzen-3-3250u-15.6-inch-fhd-display-cloud-grey-laptop, Ryzen 3, Not Applicable,"Tk 49,800 "
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-arctic-grey-laptop, Core i3, 11th (Intel), 
Acer Aspire Lite AL15-51 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop,https://www.ryanscomputers.com/acer-aspire-lite-al15-51-intel-core-i3-1115g4-8gb-15.6-inch-fhd-display-titanium-gray-laptop, Core i3, 11th (Intel),"Tk 49,900 "
Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027,https://www.ryanscomputers.com/acer-aspire-3-a315-24p-amd-ryzen-3-7320u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-pure-silver-laptop, Ryzen 3, Not Applicable,"Tk 51,400 "
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop,https://www.ryanscomputers.com/lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-15.6-inch-fhd-display-sand-laptop, Ryzen 3, Not Applicable,"Tk 51,500 "
HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop,https://www.ryanscomputers.com/hp-15s-fq5486tu-intel-core-i3-1215u-15.6-inch-fhd-display-black-laptop, Core i3, 12th (Intel), 
Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,https://www.ryanscomputers.com/acer-aspire-3-a315-59-390p-intel-core-i3-1215u-15.6-inch-fhd-display-pure-silver-laptop, Core i3, 12th (Intel),"Tk 53,000 "
"Acer Aspire 3 A315-59-332B Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.00H/UN.K6TSI.024",https://www.ryanscomputers.com/acer-aspire-3-a315-59-332b-intel-core-i3-1215u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-pure-silver-laptop, Core i3, 12th (Intel),"Tk 53,400 "
Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/huawei-matebook-d-15-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-silver-laptop, Core i3, 11th (Intel),"Tk 56,500 "
