title,url,DIS_price,pre_price
Sony Plus 32'' 4K Supported Android Smart Television Wi-Fi Hd Led TV 4K Supported RAM 2GB ROM 16GB Android version 11.0 Built-In,https://www.daraz.com.bd/products/sony-plus-32-4k-wi-fi-hd-led-4k-ram-2gb-rom-16gb-110-i131882022-s1052418682.html?search=1,"৳ 12,990","৳ 19,900"
Craft Brand 32 inch 4k LED Smart TV - 2GB RAM/6 GB ROM,https://www.daraz.com.bd/products/craft-brand-32-inch-4k-led-smart-tv-2gb-ram6-gb-rom-i100311720-s1014223462.html?search=1,"৳ 13,116","৳ 18,990"
"Haier 32"" Android 11 HD Smart LED TV (H32K66GH) with Free Bongo Subscription",https://www.daraz.com.bd/products/haier-32-android-11-hd-smart-led-tv-h32k66gh-with-free-bongo-subscription-i201531570-s1237361495.html?search=1,"৳ 19,900","৳ 28,900"
SONY PLUS 43 inch Android Smart Wifi HD LED TV 4K Supported RAM 2 GB ROM 16 GB,https://www.daraz.com.bd/products/sony-plus-43-inch-android-smart-wifi-hd-led-tv-4k-supported-ram-2-gb-rom-16-gb-i230737624-s1564963837.html?search=1,"৳ 20,999","৳ 29,890"
"KuGou 32"" TV FHD Frameless Android Smart TV",https://www.daraz.com.bd/products/kugou-32-tv-fhd-frameless-android-smart-tv-i229095051-s1280742790.html?search=1,"৳ 13,650","৳ 24,900"
Sony Plus 24 Inch 4K Supported ( Ram 1 gb Rom 8 gb ) Android Smart Television Wi-Fi Hd Led Tv 4k Supported,https://www.daraz.com.bd/products/sony-plus-24-4k-ram-1-gb-rom-8-gb-wi-fi-hd-led-4k-i322327308-s1510112362.html?search=1,"৳ 9,990","৳ 16,500"
MME 32 Inch TV 2GB Ram Voice Control/ Non-Voice Smart TV 1080p FHD Android TV,https://www.daraz.com.bd/products/mme-32-inch-tv-2gb-ram-voice-control-non-voice-smart-tv-1080p-fhd-android-tv-i229388253-s1280660442.html?search=1,"৳ 13,587","৳ 25,700"
Sony Plus Elite 24 Inch HD LED TV 4K Supported Basic Television (Resolution 1080P 1366 x 768),https://www.daraz.com.bd/products/sony-plus-elite-24-inch-hd-led-tv-4k-supported-basic-television-resolution-1080p-1366-x-768-i131874051-s1052428304.html?search=1,"৳ 8,723","৳ 11,000"
Candy by Haier 32 Android Smart LED TV (C32K6G),https://www.daraz.com.bd/products/candy-by-haier-32-android-smart-led-tv-c32k6g-i325307556-s1561384982.html?search=1,"৳ 17,500","৳ 26,900"
Haier H32K66GH 32 Inch Bezel Less HD Android Smart LED Television,https://www.daraz.com.bd/products/haier-h32k66gh-32-inch-bezel-less-hd-android-smart-led-television-i306700887-s1372844082.html?search=1,"৳ 20,119","৳ 27,900"
Vikan 32 Inch Double Glass TV Android Smart Wifi TV HD Led Tv 4K Supported RAM 2GB ROM 16GB Android version 11.0 Built-In,https://www.daraz.com.bd/products/vikan-32-wifi-hd-led-4k-ram-2gb-rom-16gb-i100008310-s1013832075.html?search=1,"৳ 13,900","৳ 25,500"
