title,regukar_price,special_price,monthly_emi,brand,model,storage
Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop,38630,35800,3219,Lenovo,Lenovo IdeaPad D330 10IGL,128GB eMMC
HP 15s-fq3617TU Intel CDC N4500 4GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop,46110,42500,3843,HP,HP 15s-fq3617TU,256GB SSD
HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB 256GB SSD 15.6 Inch FHD Display Silver Laptop,51540,47500,4295,HP,HP 15s-eq1578AU,256GB SSD
Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,53930,49900,4494,Lenovo,Lenovo IdeaPad 1 15ADA7,512GB SSD
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,55340,51400,4612,Lenovo,Lenovo IdeaPad Slim 3i 15ITL,256GB SSD
Acer Aspire Lite AL15-51 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop,55340,51500,4612,Acer,Acer Aspire Lite AL15-51,512GB SSD
Dell Inspiron 15 3515 AMD Ryzen 3 3250U 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop,55660,51500,4638,Dell,Dell Inspiron 15 3515,256GB SSD
HP 15s-eq2618AU AMD Ryzen 3 5300U 8GB RAM 512GB SSD 15.6 Inch HD Display Spruce Blue Laptop,60000,55500,5000,Hp,HP 15s-eq2618AU,512GB SSD
HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop,61090,56500,5091,HP,HP 15s-du3611TU,1TB HDD
HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop,61090,56500,5091,HP,HP 15s-fq5486TU,256GB SSD
Acer Extensa 15 EX215-23-R2JD AMD Ryzen 3 7320U 8GB RAM 256GB SSD 15.6 Inch FHD Display Steel Gray Laptop,61850,57500,5154,Acer,Acer Extensa 15 EX215-23-R2JD,256GB SSD
Acer Aspire 3 A315-59-34TO Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Moonstone Purple Laptop,62710,58000,5226,Acer,Acer Aspire 3 A315-59-34TO,512GB SSD
Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,62710,58000,5226,Acer,Acer Aspire 3 A315-59-390P,512GB SSD
Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop,65100,60500,5425,Huawei,Huawei MateBook D 15,256GB SSD
Acer Aspire Lite AL15-51 AMD Ryzen 5 5500U 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop,65640,61000,5470,Acer,Acer Aspire Lite AL15-51,512GB SSD
Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop,66190,61500,5516,Acer,Acer Aspire Lite AL15-51,512GB SSD
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop,67810,62800,5651,Asus,Asus VivoBook 15 X1500EA,1TB HDD
Acer Aspire 5 5P-A515-58P Intel Core i3 1305U 8GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,68360,63500,5697,Acer,Acer Aspire 5 5P-A515-58P,512GB SSD
Asus VivoBook 15 X1502ZA Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop,69120,63900,5760,Asus,Asus VivoBook 15 X1502ZA,256GB SSD
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop,69440,64500,5787,Dell,Dell Inspiron 15 3520,512GB SSD
HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,70200,64700,5850,HP,HP 15s-fq5786TU,512GB SSD
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA,74110,68500,6176,Asus,Asus X515EA,1TB HDD
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop,74110,68500,6176,Asus,Asus X515EA,1TB HDD
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 7530U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Abyss Blue Laptop,77580,72000,6465,Lenovo,Lenovo IdeaPad Slim 3 15ABR8,512GB SSD
Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop,79530,73500,6628,Dell,Dell Latitude 15-3520,256GB SSD
Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,80070,74000,6673,Acer,Acer Aspire 3 A315-59-5031,512GB SSD
Huawei MateBook B3-520 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Space Gray Laptop,81920,76000,6827,Huawei,Huawei MateBook B3-520,512GB SSD
Huawei MateBook D 15 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,82460,76000,6872,Huawei,Huawei MateBook D 15,512GB SSD
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop,90060,83000,7505,Lenovo,Lenovo IdeaPad Slim 3 15ABR8,512GB SSD
Acer TravelMate P214-53-72WA Intel Core i7 1165G7 8GB RAM 512GB SSD 14 Inch FHD Display Shale Black Laptop,91680,84900,7640,Acer,Acer TravelMate P214-53-72WA,512GB SSD
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop #82H803EUIN-2Y,94940,88000,7912,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,512GB SSD
Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop,95810,88500,7984,Dell,Dell Inspiron 15 3525,512GB SSD
MSI Modern 15 A11MU Intel Core i7 1195G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Gray Laptop,96890,89500,8074,MSI,MSI Modern 15 A11MU,512GB SSD
MSI Modern 14 C11M Intel Core i7 1195G7 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop,102860,95000,8572,MSI,MSI Modern 14 C11M,512GB SSD
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare LED Display Abyss Blue Laptop,103400,95500,8617,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,512GB SSD
Dell Inspiron 15 3511 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop,105030,97000,8753,Dell,Dell Inspiron 15 3511,512GB SSD
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop,105030,97000,8753,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,512GB SSD
Gigabyte Gaming G5 KE Intel Core i5 12500H 8GB RAM 512GB SSD 15.6 Inch FHD Display Matte Black Gaming Laptop,157870,146000,13156,Gigabyte,Gigabyte Gaming G5 KE,512GB SSD
Microsoft Surface Laptop Studio Intel Core i7 11370H 16GB RAM 512GB SSD 14.4 Inch Pixelsense Flow Multi Touch Display Platinum Surface Laptop #A1Y-00001,246840,228000,20570,Microsoft,Microsoft Surface Laptop Studio,512GB SSD
Apple MacBook Pro (Late 2021) Apple M1 Max Chip 64GB RAM 4TB SSD 16.2 Inch Liquid Retina XDR Display Space Gray Laptop,518630,479000,43219,Apple,Apple MacBook Pro (Late 2021),4TB SSD
Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 11370H 16GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Shadow Black Gaming Laptop #82K100WFIN-3Y,142680,132000,11890,Lenovo,Lenovo IdeaPad Gaming 3i 15IHU,1TB HDD+256GB SSD
Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop,30920,29000,2577,Chuwi,Chuwi HeroBook Pro,256GB SSD
Chuwi GemiBook XPro Intel Core N100 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop,36890,34800,3074,Chuwi,Chuwi GemiBook XPro,256GB SSD
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Platinum Grey Laptop,37980,35500,3165,Lenovo,Lenovo IdeaPad Slim 3i 15IGL,1TB HDD
Chuwi GemiBook Plus Intel Core N100 8GB RAM 256GB SSD 15.6 Inch FHD Display Grey Laptop,37980,35500,3165,Chuwi,Chuwi GemiBook Plus,256GB SSD
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Antiglare Display Platinum Grey Laptop,38520,36000,3210,Lenovo,Lenovo IdeaPad Slim 3i 15IGL,1TB HDD
Asus E210MA Intel CDC N4020 4GB RAM 256GB SSD 11.6 Inch HD Display Peacock Blue Laptop,39930,37000,3328,Asus,Asus E210MA,256GB SSD
Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop (Carry bag not included),40470,37500,3373,Asus,Asus 15 P1511CMA,1TB HDD
Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 14 Inch FHD Display Slate Grey Laptop,42640,39500,3553,Asus,Asus X415KA,1TB HDD
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,43730,40500,3644,Asus,Asus X515KA,1TB HDD
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop #BQ675W-X515MA,43730,40500,3644,Asus,Asus X515MA,1TB HDD
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop,43730,40500,3644,Asus,Asus X515KA,1TB HDD
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,46660,43500,3888,Asus,Asus X515MA,1TB HDD
HP 15s-fq3234TU Intel CDC N4500 4GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop,46980,43500,3915,HP,HP 15s-fq3234TU,256GB SSD
Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Blue Laptop,47200,44000,3933,Asus,Asus VivoBook 14 E410MA,256GB SSD
Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Black Laptop,47200,44000,3933,Asus,Asus VivoBook 14 E410MA,256GB SSD
